epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0876,1.54465,1.60055,1.07722,0.92249,0.60501,0.88148,0.5162,1.34666,1.91508,0.97041,0.000659091,0.000659091,0.000659091
2,21.5297,1.33814,0.92458,1.01693,0.83921,0.88334,0.91388,0.48352,1.56692,0.94859,1.06347,0.00129951,0.00129951,0.00129951
3,30.7578,1.31292,0.858,1.01271,0.83607,0.89125,0.90383,0.50862,1.39985,0.99291,1.02668,0.00191352,0.00191352,0.00191352
4,39.8259,1.28899,0.80391,1.00259,0.86049,0.91184,0.9516,0.59997,1.27451,0.78292,0.99279,0.0018812,0.0018812,0.0018812
5,48.9656,1.23572,0.74104,0.98932,0.88024,0.89447,0.93917,0.56471,1.35707,0.77156,1.01605,0.0018416,0.0018416,0.0018416
6,58.0006,1.21706,0.71346,0.98238,0.88488,0.89704,0.95106,0.61855,1.20829,0.72635,0.97806,0.001802,0.001802,0.001802
7,67.0708,1.21535,0.69796,0.98218,0.90944,0.8918,0.96076,0.61729,1.25096,0.66602,0.98125,0.0017624,0.0017624,0.0017624
8,76.0074,1.18011,0.66965,0.97086,0.89213,0.90219,0.9537,0.6044,1.2673,0.6788,0.97903,0.0017228,0.0017228,0.0017228
9,85.2136,1.17603,0.65098,0.97341,0.89074,0.90233,0.95961,0.62707,1.22085,0.64195,0.9778,0.0016832,0.0016832,0.0016832
10,94.2008,1.15371,0.63707,0.96486,0.8974,0.90057,0.96023,0.64014,1.18326,0.62626,0.97394,0.0016436,0.0016436,0.0016436
11,103.267,1.1471,0.62755,0.96384,0.88053,0.90112,0.94552,0.59149,1.24647,0.6628,0.98032,0.001604,0.001604,0.001604
12,112.286,1.12836,0.6183,0.96307,0.91104,0.90288,0.96105,0.65025,1.15821,0.62186,0.96388,0.0015644,0.0015644,0.0015644
